n,side,csv,png
87,10.972992999214892,out_alt\submission_n087.csv,out_alt\plot_n087.png
88,10.933913381055987,out_alt\submission_n088.csv,out_alt\plot_n088.png
89,10.968351269236349,out_alt\submission_n089.csv,out_alt\plot_n089.png
90,11.004767858670451,out_alt\submission_n090.csv,out_alt\plot_n090.png
91,11.339496093725302,out_alt\submission_n091.csv,out_alt\plot_n091.png
92,11.342872717817801,out_alt\submission_n092.csv,out_alt\plot_n092.png
93,11.338275383446415,out_alt\submission_n093.csv,out_alt\plot_n093.png
94,11.342641307105616,out_alt\submission_n094.csv,out_alt\plot_n094.png
95,11.348366116518438,out_alt\submission_n095.csv,out_alt\plot_n095.png
96,11.376093278201134,out_alt\submission_n096.csv,out_alt\plot_n096.png
97,11.332656091313012,out_alt\submission_n097.csv,out_alt\plot_n097.png
98,11.367320527989143,out_alt\submission_n098.csv,out_alt\plot_n098.png
99,11.37563176088899,out_alt\submission_n099.csv,out_alt\plot_n099.png
100,11.385639298544051,out_alt\submission_n100.csv,out_alt\plot_n100.png
101,12.053543015919669,out_alt\submission_n101.csv,out_alt\plot_n101.png
102,12.055765250799244,out_alt\submission_n102.csv,out_alt\plot_n102.png
103,12.147193786858214,out_alt\submission_n103.csv,out_alt\plot_n103.png
104,12.130610675701359,out_alt\submission_n104.csv,out_alt\plot_n104.png
105,12.087878664772084,out_alt\submission_n105.csv,out_alt\plot_n105.png
106,12.115541879841604,out_alt\submission_n106.csv,out_alt\plot_n106.png
107,12.126753323436434,out_alt\submission_n107.csv,out_alt\plot_n107.png
108,12.08891557202923,out_alt\submission_n108.csv,out_alt\plot_n108.png
109,12.093642243810104,out_alt\submission_n109.csv,out_alt\plot_n109.png
110,12.088489490410485,out_alt\submission_n110.csv,out_alt\plot_n110.png
111,12.089149302787792,out_alt\submission_n111.csv,out_alt\plot_n111.png
112,12.375487003538405,out_alt\submission_n112.csv,out_alt\plot_n112.png
113,12.358324912590568,out_alt\submission_n113.csv,out_alt\plot_n113.png
114,12.456236241087383,out_alt\submission_n114.csv,out_alt\plot_n114.png
115,12.384923102199417,out_alt\submission_n115.csv,out_alt\plot_n115.png
116,12.430620935937592,out_alt\submission_n116.csv,out_alt\plot_n116.png
117,12.403722410006617,out_alt\submission_n117.csv,out_alt\plot_n117.png
118,12.410320404580029,out_alt\submission_n118.csv,out_alt\plot_n118.png
119,12.421855329379484,out_alt\submission_n119.csv,out_alt\plot_n119.png
120,12.40946409545802,out_alt\submission_n120.csv,out_alt\plot_n120.png
121,12.388147612230865,out_alt\submission_n121.csv,out_alt\plot_n121.png
122,13.114679900975029,out_alt\submission_n122.csv,out_alt\plot_n122.png
123,13.152688742492515,out_alt\submission_n123.csv,out_alt\plot_n123.png
124,13.146052442263692,out_alt\submission_n124.csv,out_alt\plot_n124.png
125,13.187182892605392,out_alt\submission_n125.csv,out_alt\plot_n125.png
126,13.140682524554997,out_alt\submission_n126.csv,out_alt\plot_n126.png
127,13.13356298836479,out_alt\submission_n127.csv,out_alt\plot_n127.png
128,13.195267613009015,out_alt\submission_n128.csv,out_alt\plot_n128.png
129,13.151084439676211,out_alt\submission_n129.csv,out_alt\plot_n129.png
130,13.212617171474527,out_alt\submission_n130.csv,out_alt\plot_n130.png
131,13.151610687774845,out_alt\submission_n131.csv,out_alt\plot_n131.png
132,13.188660767026196,out_alt\submission_n132.csv,out_alt\plot_n132.png
133,13.431381690276217,out_alt\submission_n133.csv,out_alt\plot_n133.png
134,13.446822599111723,out_alt\submission_n134.csv,out_alt\plot_n134.png
135,13.449218340273994,out_alt\submission_n135.csv,out_alt\plot_n135.png
136,13.451410810749753,out_alt\submission_n136.csv,out_alt\plot_n136.png
